Cluster,Num_Bases,Top_States,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m
0,23,"tx(5), hi(5), tn(3), pr(2), ms(2)",69.92608695652174,72.65217391304348,68.47826086956523,0.0,0.0,0.0,3.0,96.30434782608695,1017.704347826087,999.191304347826,12.356521739130438,159.91304347826087,25.808695652173913
1,11,"ca(10), al(1)",53.76363636363636,85.0,51.28181818181818,0.0,0.0,0.0,2.909090909090909,98.0,1008.9363636363636,994.7636363636364,5.736363636363637,153.45454545454547,9.427272727272728
2,23,"md(5), ny(3), pa(2), va(2), de(2)",32.81304347826087,63.130434782608695,26.321739130434775,0.0,0.0,0.0,2.608695652173913,85.95652173913044,1017.4130434782609,1004.8565217391305,3.7391304347826075,171.1304347826087,7.195652173913044
3,29,"fl(9), ga(6), al(5), sc(3), ms(2)",65.12068965517241,77.44827586206897,65.47241379310344,0.0,0.0,0.0,1.3448275862068966,46.10344827586207,1021.7655172413793,1012.9758620689655,6.755172413793104,220.3448275862069,13.544827586206894
4,12,"co(4), ut(2), wa(2), ca(1), al(1)",34.81666666666667,62.416666666666664,26.808333333333334,0.0,0.0,0.0,1.75,60.083333333333336,1022.0250000000001,848.1916666666666,7.125,153.83333333333334,11.308333333333335
5,22,"oh(5), il(4), in(3), ca(2), mi(2)",51.20454545454545,68.04545454545455,44.67272727272728,0.0,0.0,0.0,0.36363636363636365,16.5,1011.3136363636361,985.9272727272728,11.436363636363637,232.13636363636363,21.88181818181818
6,9,"ks(2), la(2), mo(1), id(1), ok(1)",43.12222222222223,53.55555555555556,30.577777777777776,0.0,0.0,0.0,1.6666666666666667,53.0,1011.3666666666668,954.5555555555555,19.055555555555557,97.77777777777777,31.488888888888887
7,2,"wa(1), ca(1)",41.75,100.0,38.15,0.0,0.0,0.0,45.0,100.0,1013.95,1008.0,4.25,192.5,9.3
8,17,"ok(5), nd(2), ia(2), wi(1), mn(1)",41.21764705882352,66.3529411764706,30.570588235294114,0.0,0.0,0.0,2.588235294117647,84.23529411764706,1017.0117647058823,977.1058823529411,15.664705882352942,331.1764705882353,24.194117647058825
9,18,"va(7), wa(2), nc(2), ma(2), ny(2)",43.016666666666666,52.388888888888886,37.361111111111114,0.0,0.0,0.0,0.4444444444444444,17.944444444444443,1019.3111111111112,1011.377777777778,4.488888888888889,226.61111111111111,8.366666666666667
10,11,"nm(3), ca(3), nv(3), tx(2)",55.972727272727276,47.81818181818182,51.72727272727274,0.0,0.0,0.0,2.4545454545454546,81.27272727272727,1014.0636363636364,908.4545454545455,3.2363636363636363,204.0909090909091,6.881818181818182
11,2,ak(2),-31.6,72.5,-40.15,0.0,0.0,0.0,1.5,41.5,1010.8499999999999,970.6500000000001,2.5,94.0,3.9
