OBJECTID,Site_Name,State,latitude,longitude,Cluster,Temp (°F),Humidity (%),Feels Like (°F),Precip (in),Rain (in),Snow (in),Weather Code,Cloud Cover (%),Pressure MSL,Surface Press.,Wind Speed (mph),Wind Dir (°),Wind Gusts (mph),Temperature 2M Max (7d),Temperature 2M Min (7d),Temperature 2M Mean (7d),Apparent Temperature Max (7d),Apparent Temperature Min (7d),Precipitation Sum (7d),Rain Sum (7d),Snowfall Sum (7d),Wind Speed 10M Max (7d),Wind Gusts 10M Max (7d),Sunshine Duration (7d),Uv Index Max (7d),Shortwave Radiation Sum (7d),Precipitation Hours (7d),Et0 Fao Evapotranspiration (7d),Temp (°F) (z-score),Humidity (%) (z-score),Feels Like (°F) (z-score),Precip (in) (z-score),Rain (in) (z-score),Snow (in) (z-score),Weather Code (z-score),Cloud Cover (%) (z-score),Pressure MSL (z-score),Surface Press. (z-score),Wind Speed (mph) (z-score),Wind Dir (°) (z-score),Wind Gusts (mph) (z-score),Temperature 2M Max (7d) (z-score),Temperature 2M Min (7d) (z-score),Temperature 2M Mean (7d) (z-score),Apparent Temperature Max (7d) (z-score),Apparent Temperature Min (7d) (z-score),Precipitation Sum (7d) (z-score),Rain Sum (7d) (z-score),Snowfall Sum (7d) (z-score),Wind Speed 10M Max (7d) (z-score),Wind Gusts 10M Max (7d) (z-score),Sunshine Duration (7d) (z-score),Uv Index Max (7d) (z-score),Shortwave Radiation Sum (7d) (z-score),Precipitation Hours (7d) (z-score),Et0 Fao Evapotranspiration (7d) (z-score),Temp (°F) (rank),Humidity (%) (rank),Feels Like (°F) (rank),Precip (in) (rank),Rain (in) (rank),Snow (in) (rank),Weather Code (rank),Cloud Cover (%) (rank),Pressure MSL (rank),Surface Press. (rank),Wind Speed (mph) (rank),Wind Dir (°) (rank),Wind Gusts (mph) (rank),Temperature 2M Max (7d) (rank),Temperature 2M Min (7d) (rank),Temperature 2M Mean (7d) (rank),Apparent Temperature Max (7d) (rank),Apparent Temperature Min (7d) (rank),Precipitation Sum (7d) (rank),Rain Sum (7d) (rank),Snowfall Sum (7d) (rank),Wind Speed 10M Max (7d) (rank),Wind Gusts 10M Max (7d) (rank),Sunshine Duration (7d) (rank),Uv Index Max (7d) (rank),Shortwave Radiation Sum (7d) (rank),Precipitation Hours (7d) (rank),Et0 Fao Evapotranspiration (7d) (rank)
446,Naval Base Guam,gu,13.461906542056076,144.76290654205607,0,82.0,83.0,86.8,0.0,0.0,0.0,2.0,56.0,1012.5,1009.5,16.2,84.0,21.5,83.91428571428571,81.51428571428572,82.55714285714285,88.97142857142856,85.24285714285715,0.0192857142857142,0.0,0.0,18.2,24.428571428571427,39004.26857142857,8.02142857142857,21.12,4.142857142857143,0.1988571428571428,1.6016805688016855,1.1738818753562674,1.833925722787514,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,-0.09678537970556408,-0.7932120647942269,0.5257160601615055,1.475915880388355,-1.2074010774108017,0.6522766272933666,1.738407935327038,2.36641015562406,2.1253574727988327,2.003579837459709,2.4924394532475427,-0.4256245786095515,-0.5141152977073766,-0.26270765697318604,1.9793980269431415,0.48050545140504786,2.093061559042923,3.5652465481243003,3.1707473864058637,0.9923503956786639,3.1353345253058253,1,102,1,6,2,5,398,454,688,306,62,703,199,4,1,1,4,1,437,526,133,29,153,1,1,1,120,1
120,NG GUARNG Barrigada Complex,gu,13.4745,144.8105,0,81.3,82.0,85.5,0.0,0.0,0.0,2.0,56.0,1012.7,1002.6,16.2,84.0,21.3,83.18571428571428,80.81428571428572,81.84285714285714,87.81428571428572,84.11428571428571,0.0192857142857142,0.0,0.0,18.2,24.428571428571427,39004.26857142857,7.885714285714286,21.12,4.142857142857143,0.197,1.5654267288749577,1.1156190958541854,1.7754255177838072,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,-0.09678537970556408,-0.7567282946914865,0.3823905157204799,1.475915880388355,-1.2074010774108017,0.629412121363655,1.695061585064228,2.3271307966972876,2.083337570625965,1.9445174233705247,2.4379197559514525,-0.4256245786095515,-0.5141152977073766,-0.26270765697318604,1.9793980269431415,0.48050545140504786,2.093061559042923,3.4460639528135966,3.1707473864058637,0.9923503956786639,3.086434012600003,2,123,2,6,2,5,398,454,681,397,62,703,205,6,2,2,6,2,437,526,133,29,153,1,2,1,120,3
144,Kawaihae Mil Reserve,hi,20.0325,-155.82925,0,80.6,66.0,75.7,0.0,0.0,0.0,3.0,100.0,1018.7,1018.7,28.1,60.0,38.7,80.48571428571428,78.47142857142856,79.48571428571428,80.41428571428571,76.2,0.0,0.0,0.0,25.485714285714288,35.51428571428572,29554.197142857145,6.414285714285714,15.772857142857143,0.0,0.1977142857142857,1.5291728889482301,0.18341462382087442,1.3344239723712468,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.9939981846727168,0.3377848083904775,0.7168167860828745,3.8650994833757846,-1.4928676226128008,2.6186241372485766,1.534425110560873,2.1956651872280903,1.9446718934554994,1.5668096394421576,2.0555917521282385,-0.6481414771677897,-0.5141152977073766,-0.26270765697318604,4.17102230131986,2.449833711065735,0.22022922636225029,2.15387370891859,1.299904122106725,-0.9462700306733105,3.1052419021022426,3,365,26,6,2,5,7,1,303,101,3,747,13,25,6,6,29,17,617,526,133,7,19,388,36,36,617,2
447,Andersen Air Force Base,gu,13.613285714285713,144.892,0,80.6,83.0,84.5,0.0,0.0,0.0,2.0,56.0,1012.5,995.7,16.2,84.0,21.5,82.5,80.11428571428571,81.15714285714286,86.75714285714285,83.02857142857144,0.0192857142857142,0.0,0.0,18.2,24.428571428571427,39004.26857142857,7.885714285714286,21.12,4.142857142857143,0.1947142857142857,1.5291728889482301,1.1738818753562674,1.7304253600886481,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,-0.09678537970556408,-0.7932120647942269,0.23906497127945434,1.475915880388355,-1.2074010774108017,0.6522766272933666,1.6542650201109952,2.2878514377705153,2.0429984645400117,1.8905591685236147,2.385470426907113,-0.4256245786095515,-0.5141152977073766,-0.26270765697318604,1.9793980269431415,0.48050545140504786,2.093061559042923,3.4460639528135966,3.1707473864058637,0.9923503956786639,3.0262487661928343,3,102,3,6,2,5,398,454,688,447,62,703,199,9,3,3,10,3,437,526,133,29,153,1,2,1,120,4
664,Camp Blaz,gu,13.56029411764706,144.8600588235294,0,80.5,83.0,84.5,0.0,0.0,0.0,2.0,56.0,1012.5,995.4,16.2,84.0,21.5,82.45714285714287,80.02857142857144,81.11428571428571,86.7,82.95714285714287,0.0192857142857142,0.0,0.0,18.2,24.428571428571427,39004.26857142857,7.885714285714286,21.12,4.142857142857143,0.1945714285714286,1.523993768958698,1.1738818753562674,1.7304253600886481,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,-0.09678537970556408,-0.7932120647942269,0.23283342586897351,1.475915880388355,-1.2074010774108017,0.6522766272933666,1.651715234801419,2.2830417203509112,2.040477270409639,1.8876425060994577,2.382019813154196,-0.4256245786095515,-0.5141152977073766,-0.26270765697318604,1.9793980269431415,0.48050545140504786,2.093061559042923,3.4460639528135966,3.1707473864058637,0.9923503956786639,3.0224871882923874,5,102,3,6,2,5,398,454,688,453,62,703,199,10,4,4,11,4,437,526,133,29,153,1,2,1,120,5
934,CPT PJ Parra/Ponce,pr,17.994999999999997,-66.60725,0,80.2,56.0,80.2,0.0,0.0,0.0,3.0,89.0,1018.8,1017.6,11.2,26.0,20.6,84.60000000000001,73.52857142857144,78.51428571428572,90.01428571428572,79.37142857142858,0.0094285714285714,0.0,0.0,10.571428571428571,19.071428571428573,37258.50571428572,7.635714285714286,17.211428571428574,1.5714285714285714,0.1488571428571428,1.5084564089901005,-0.399213171199945,1.5369246819994635,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.7213022935781466,0.3560266934418269,0.6939677862444495,0.4720572236709476,-1.8972785616489662,0.5493863506096639,1.7792045002802717,1.9183048160308833,1.8875248265003992,2.0568089267005796,2.2087990027577575,-0.5393554378726508,-0.5141152977073766,-0.26270765697318604,-0.3153615074042457,-0.47116735448768016,1.7470831028203573,3.2265170667149308,1.8032274368674075,-0.21093124826394097,1.8187822601490222,6,531,7,6,2,5,7,357,290,140,252,784,225,2,25,8,2,7,501,526,133,465,573,17,8,25,402,55
905,Santa Rosa Parcel A,gu,13.53925,144.91474999999997,0,79.6,83.0,83.1,0.0,0.0,0.0,2.0,56.0,1012.5,986.9,16.2,84.0,21.5,81.58571428571429,79.21428571428571,80.22857142857143,85.32857142857142,81.61428571428571,0.0192857142857142,0.0,0.0,18.2,24.428571428571427,39004.26857142857,7.8428571428571425,21.12,4.142857142857143,0.1918571428571428,1.477381689052905,1.1738818753562674,1.667425139315425,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,-0.09678537970556408,-0.7932120647942269,0.05627297257205738,1.475915880388355,-1.2074010774108017,0.6522766272933666,1.5998696001733514,2.237349404864665,1.9883725917152826,1.8176426079196828,2.317148274599354,-0.4256245786095515,-0.5141152977073766,-0.26270765697318604,1.9793980269431415,0.48050545140504786,2.093061559042923,3.4084273437681105,3.1707473864058637,0.9923503956786639,2.9510172081838735,7,102,5,6,2,5,398,454,688,531,62,703,199,13,5,5,18,5,437,526,133,29,153,1,5,1,120,6
921,PFC S C Aviles Salinas,pr,17.981250000000003,-66.29575,0,79.5,57.0,76.5,0.0,0.0,0.0,3.0,90.0,1018.8,1017.3,18.2,21.0,27.5,84.74285714285715,75.18571428571428,79.24285714285715,89.24285714285715,79.61428571428571,0.0011428571428571,0.0,0.0,12.885714285714286,19.65714285714285,37479.66571428571,7.6571428571428575,17.30142857142857,0.2857142857142857,0.1647142857142857,1.4722025690633729,-0.34095039169786306,1.3704240985273741,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.7460928291321984,0.3560266934418269,0.6877362408339688,1.8774593430753177,-1.9567507585660493,1.3382118051847187,1.7877037846455284,2.0112926861432414,1.9303851267167247,2.0174339839744566,2.2205310895176753,-0.6349552905865612,-0.5141152977073766,-0.26270765697318604,0.3808014973977709,-0.36711779437674313,1.79091299361286,3.2453353712376733,1.834716383073884,-0.8125720702352434,2.2363174070987526,8,508,13,6,2,5,7,345,290,151,29,785,81,1,12,7,3,6,591,526,133,209,531,13,6,23,569,20
955,PFC L G Oliveras Yauco,pr,18.02425,-66.86275,0,79.0,58.0,79.3,0.0,0.0,0.0,3.0,95.0,1018.8,1012.7,10.2,29.0,20.8,84.55714285714285,67.78571428571429,75.57142857142857,90.77142857142856,71.94285714285715,0.0292857142857142,0.0,0.0,9.414285714285716,18.928571428571427,37435.98285714286,7.328571428571428,17.928571428571427,2.4285714285714284,0.1455714285714285,1.4463069691157104,-0.2826876121957811,1.4964245400738199,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.8700455069024576,0.3560266934418269,0.5921858778732866,0.2712854923274661,-1.8615952434987164,0.5722508565393756,1.7766547149706937,1.596053748917364,1.7144028295481815,2.095454703820663,1.8499351724543798,-0.31024544602379794,-0.5141152977073766,-0.26270765697318604,-0.6634430098052532,-0.49654529597815344,1.7822558455839415,2.9567880352222833,2.054139357433307,0.19016263305026052,1.7322659684387174,9,492,8,6,2,5,7,300,290,251,294,780,215,3,51,24,1,40,368,526,133,654,586,15,18,18,283,61
176,NG MTA Camp Santiago,pr,18.026375,-66.27125,0,78.5,58.0,75.3,0.0,0.0,0.0,3.0,90.0,1019.1,1008.2,18.1,20.0,27.5,83.8,74.25714285714285,78.28571428571429,87.87142857142858,78.2,0.0011428571428571,0.0,0.0,12.885714285714286,19.65714285714285,37479.66571428571,7.6571428571428575,17.30142857142857,0.2857142857142857,0.1624285714285714,1.4204113691680478,-0.2826876121957811,1.3164239092931829,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.7460928291321984,0.41075234859593757,0.49871269671609575,1.85738216994097,-1.968645197949466,1.3382118051847187,1.7316085078348327,1.959187414097523,1.8740784578050813,1.9474340857946821,2.152208937209917,-0.6349552905865612,-0.5141152977073766,-0.26270765697318604,0.3808014973977709,-0.36711779437674313,1.79091299361286,3.2453353712376733,1.834716383073884,-0.8125720702352434,2.1761321606915836,10,492,34,6,2,5,7,345,275,324,30,786,81,5,18,10,5,10,591,526,133,209,531,13,6,23,569,27
