OBJECTID,Site_Name,State,latitude,longitude,elevation,Is_Joint_Base,Operational_Status,Reporting_Component,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,current_time,timezone,Cluster
2,Fort Campbell,tn,36.65429,-87.46056,168.0,no,act,usa,68.5,67,64.6,1,0.0,0.0,0.0,0.0,3,100,1015.1,995.5,14.7,227,30.0,2026-02-10T10:45,America/Chicago,0
25,NG Bremerton,wa,47.56732,-122.63264,11.0,no,act,armyNationalGuard,40.2,91,36.8,1,0.0,0.0,0.0,0.0,0,0,1018.4,1016.8,1.5,297,1.6,2026-02-10T08:45,America/Los_Angeles,9
32,Camp Dodge,ia,41.69971,-93.70744,301.0,no,act,armyNationalGuard,36.9,79,26.6,1,0.0,0.0,0.0,0.0,3,100,1018.8,981.7,15.0,338,24.4,2026-02-10T10:45,America/Chicago,8
47,NG Camp Ripley,mn,46.07024,-94.32833,348.0,no,act,armyNationalGuard,29.6,67,16.3,1,0.0,0.0,0.0,0.0,2,54,1019.3,975.9,18.8,317,29.5,2026-02-10T10:45,America/Chicago,8
54,Carlisle Barracks,pa,40.20009,-77.16637,143.0,no,act,usa,32.1,49,23.9,1,0.0,0.0,0.0,0.0,3,100,1016.3,998.1,5.9,160,10.3,2026-02-10T11:45,America/New_York,2
66,Detroit Arsenal,mi,42.49926,-83.02893,188.0,no,act,usa,39.1,62,30.9,1,0.0,0.0,0.0,0.0,3,84,1007.0,983.6,8.7,220,20.6,2026-02-10T11:45,America/Detroit,5
71,NG Esler Field,la,31.3949,-92.29569,27.0,no,act,armyNationalGuard,69.3,75,69.7,1,0.0,0.0,0.0,0.0,1,44,1020.1,1017.0,8.0,198,17.0,2026-02-10T10:45,America/Chicago,3
74,Fort Walker,va,38.06968,-77.31809,64.0,no,act,usa,49.0,24,43.2,1,0.0,0.0,0.0,0.0,2,70,1018.1,1010.3,1.8,240,3.6,2026-02-10T11:45,America/New_York,9
75,Fort Belvoir,va,38.7119,-77.14589,42.0,no,act,usa,39.7,47,33.7,1,0.0,0.0,0.0,0.0,3,100,1018.3,1012.9,1.9,225,3.6,2026-02-10T11:45,America/New_York,2
76,Fort Benjamin Harrison,in,39.86254,-86.01248,256.0,no,clsd,usa,54.9,71,48.4,1,0.0,0.0,0.0,0.0,0,3,1010.4,980.3,12.8,245,24.2,2026-02-10T11:45,America/Indiana/Indianapolis,5
77,Fort Benning,ga,32.35237,-84.96882,94.0,no,act,usa,62.0,83,61.2,1,0.0,0.0,0.0,0.0,2,72,1022.3,1009.9,7.2,254,13.2,2026-02-10T11:45,America/New_York,3
78,Fort Bliss,tx,31.81357,-106.41224,1186.0,no,act,usa,59.2,66,56.4,1,0.0,0.0,0.0,0.0,3,100,1015.2,883.8,5.4,182,9.8,2026-02-10T09:45,America/Denver,10
79,Fort Buchanan,pr,18.41215,-66.12207,10.0,no,act,usar,72.2,72,74.1,1,0.0,0.0,0.0,0.0,3,100,1021.0,1019.5,5.9,20,15.4,2026-02-10T12:45,America/Puerto_Rico,0
80,Fort Carson,co,38.73749,-104.78886,1780.0,no,act,usa,38.0,60,27.3,1,0.0,0.0,0.0,0.0,2,57,1023.0,824.4,14.3,177,17.9,2026-02-10T09:45,America/Denver,4
