OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length,latitude,longitude,elevation,geocoded_name
1,usa,na,Devens Reserve Forces Tng Area,no,no,no,na, ,f9f35d60-b757-448a-9683-ebc2e518a310,Devens Reserve Forces Tng Area,act,usar,ma,0.002252844363855,0.324854074815665,,,,
2,usa,na,Fort Campbell,no,yes,no,na, ,7dc7f20f-6983-4e95-a593-a3299fb37d9f,Fort Campbell,act,usa,tn,0.0426746552900568,1.38826998927591,36.65429,-87.46056,168.0,Fort Campbell North
3,usa,na,NG Snake Creek TS Miramar,no,no,no,na, ,e33df005-0713-4e64-8ebe-10dd700cbd60,NG Snake Creek TS Miramar,act,armyNationalGuard,fl,0.000116294921554,0.0464781701395715,,,,
4,usa,na,Piñon Canyon Maneuver Site,no,yes,no,na, ,0582f20a-d60a-4468-89e0-6fdade6f3e0c,Piñon Canyon Maneuver Site,act,usa,co,0.0971086052513783,1.77697111537376,,,,
5,usa,na,Stewart Annex,no,no,no,na, ,0d629ab9-bead-4263-8d09-663887ea1100,Stewart Annex,act,usa,ny,4.40629446529783e-06,0.0098908639767401,,,,
6,usa,na,NG Sandson AASF,no,no,no,na, ,fd6498b4-9e6a-4547-8a64-a3d329b02f88,NG Sandson AASF,act,armyNationalGuard,va,3.75180773062311e-05,0.0279662520747281,,,,
7,usa,na,NG AASF02 Birmingham,no,no,no,na, ,798d2939-75f9-40b5-a14d-62658e117737,NG AASF02 Birmingham,act,armyNationalGuard,al,8.75687806001224e-06,0.0120572443341742,,,,
8,usa,na,Aliamanu Military Reservation,no,no,no,na, ,f573a5d2-2916-404e-b39b-b50b77e9a658,Aliamanu Military Reservation,act,usa,hi,0.000214081970062,0.0943222717051644,,,,
9,usa,na,Allen Stagefield AL,no,no,no,na, ,2a89f870-a3c3-47fe-bd42-c391fd11f473,Allen Stagefield AL,act,usa,al,4.32939518759667e-05,0.0266014903681706,,,,
10,usa,na,Anniston Army Depot,no,yes,no,na, ,e0622832-7263-4b42-a25e-371e105a8f36,Anniston Army Depot,act,usa,al,0.006151724257279,0.450615606591333,,,,
11,usa,na,NG Arden Hills Army Training Site,no,no,no,na, ,567b9eee-fd5e-41ad-ae5e-4b298bb5883c,NG Arden Hills Army Training Site,act,armyNationalGuard,mn,0.0006938333499419,0.143514186656092,,,,
12,usa,na,Arlington National Cemetery,no,no,no,na, ,38d53478-968b-4491-9159-6f0f51262cab,Arlington National Cemetery,act,usa,va,0.0002615618238905,0.0987602913707697,,,,
14,usa,na,NG Auburn Training Site,no,no,no,na, ,59d1a8b5-b6e8-40b2-820d-daaea214ae39,NG Auburn Training Site,act,armyNationalGuard,me,8.01836640675901e-05,0.0584161398079149,,,,
15,usa,na,NG Bangor Training Site,no,no,no,na, ,2261d4b2-865d-4849-962f-786e69352d3f,NG Bangor Training Site,act,armyNationalGuard,me,9.46730906434823e-05,0.0724202302120256,,,,
17,usa,na,NG Beightler Armory,no,no,no,na, ,691bb642-ae32-4683-b4c7-ac7150179c30,NG Beightler Armory,act,armyNationalGuard,oh,7.44881776881812e-06,0.0109736295269336,,,,
22,usa,na,Naval Research Laboratory – Blossom Point,no,yes,no,na, ,0f144531-02c5-471e-bbac-5ff8e789cc1f,Naval Research Laboratory – Blossom Point,act,usa,md,0.0006610372936393,0.117664862240368,,,,
23,usa,na,Blue Grass Army Depot,no,yes,no,na, ,4ab3d989-95e4-45fd-91c2-19b9130a7e37,Blue Grass Army Depot,act,usa,ky,0.0060269465334386,0.341741833036766,,,,
24,usa,na,NG Bog Brook Training Site,no,no,no,na, ,25846d9d-36dc-4995-a8e7-698e61532d7f,NG Bog Brook Training Site,act,armyNationalGuard,me,9.52695841078821e-05,0.101911769007113,,,,
25,usa,na,NG Bremerton,no,no,no,na, ,e2ab1296-a74e-4252-b3d4-116f0a651cff,NG Bremerton,act,armyNationalGuard,wa,3.91337121072866e-05,0.0252300261152834,47.56732,-122.63264,11.0,Bremerton
26,usa,na,Brown 4b Stagefield AL,no,no,no,na, ,981277e4-086c-424d-bc0a-d3609d2b2d37,Brown 4b Stagefield AL,act,usa,al,6.26350583843305e-05,0.0320383984111873,,,,
27,usa,na,Cairns Basefield AL,no,no,no,na, ,0740c4a2-175d-46e0-8ef9-6d852d584773,Cairns Basefield AL,act,usa,al,0.0004945198727455,0.117449682970421,,,,
29,usa,na,NG Camp Ashland,no,no,no,na, ,aa1f9f5c-2e82-45b2-b688-aa028f82edf0,NG Camp Ashland,act,armyNationalGuard,ne,0.000482719161398,0.139408877369188,,,,
30,usa,na,NG Camp Atterbury,no,no,no,na, ,7dfbd048-41f5-4a73-b601-2e890080e886,NG Camp Atterbury,act,armyNationalGuard,in,0.0147936273240248,0.674004091117281,,,,
32,usa,na,Camp Dodge,no,yes,no,na, ,07f1633b-a905-49f2-8985-f6431af55d8c,Camp Dodge,act,armyNationalGuard,ia,0.0145667652182055,3.71614794083355,41.69971,-93.70744,301.0,Camp Dodge
37,usa,na,NG Camp Joseph T Robinson,no,no,no,na, ,9fdbd0d1-b09a-493a-afee-be3473bbf9ba,NG Camp Joseph T Robinson,act,armyNationalGuard,ar,0.0131596971334602,0.604068335227265,,,,
39,usa,na,Camp MacKall,no,yes,no,na, ,339345fe-d41e-4ffe-96c1-411dfcfc0350,Camp MacKall,act,usa,nc,0.0031872518395665,0.392011851400444,,,,
43,usa,na,NG State Military Reservation Camp Pendleton,no,no,no,na, ,798ff067-26b6-44b3-ab7f-af20f953880f,NG State Military Reservation Camp Pendleton,act,armyNationalGuard,va,0.0001278994417829,0.0695300281045814,,,,
44,usa,na,NG Camp Perry Joint Training Center,no,no,no,na, ,5c5a1a24-19ee-4ca7-806c-df14e718357c,NG Camp Perry Joint Training Center,act,armyNationalGuard,oh,0.0002524952681448,0.104439975763069,,,,
47,usa,na,NG Camp Ripley,no,no,no,na, ,33df05ba-5033-413b-8121-5b3c944be543,NG Camp Ripley,act,armyNationalGuard,mn,0.0249069898809857,1.67692508177504,46.07024,-94.32833,348.0,Camp Ripley Junction
48,usa,na,NG Camp Sherman Joint Training Center,no,no,no,na, ,2a7b4710-fc16-40f0-b1d0-2f92d7a7b966,NG Camp Sherman Joint Training Center,act,armyNationalGuard,oh,0.0001927514113049,0.0794955359212516,,,,
49,usa,na,NG Camp Smith Tng Site,no,no,no,na, ,7b334e9c-85a6-47fa-85b1-7904fb89d52b,NG Camp Smith Tng Site,act,armyNationalGuard,ny,0.0006845079540835,0.144212599684044,,,,
52,usa,na,NG Camp Williams Tomah MTA,no,no,no,na, ,1ca95968-17a4-4b27-be07-6a5300ec4cd0,NG Camp Williams Tomah MTA,act,armyNationalGuard,wi,5.16318013978889e-05,0.0478918860954461,,,,
54,usa,na,Carlisle Barracks,no,no,no,na, ,51e906dc-3cdd-4b03-b18f-6bd38cd72e56,Carlisle Barracks,act,usa,pa,0.0001914076458433,0.0883864628086775,40.20009,-77.16637,143.0,Carlisle Barracks Army Heliport
55,usa,na,NG Carville Gillis Long Center,no,no,no,na, ,65a64356-d096-495c-b27c-4727d07f0387,NG Carville Gillis Long Center,act,armyNationalGuard,la,0.0001349053936792,0.0472825896716175,,,,
56,usa,na,Military Ocean Terminal Concord,no,yes,no,na, ,c663ab45-3189-4363-9867-88bb5a610047,Military Ocean Terminal Concord,act,usa,ca,0.0023830181585253,1.03054762416525,,,,
58,usa,na,NG CTC Camp Dawson-Kingwood,no,no,no,na, ,f256bf6a-6267-4b74-a912-6da4edf06645,NG CTC Camp Dawson-Kingwood,act,armyNationalGuard,wv,0.0007417439853725,0.243258679093964,,,,
59,usa,na,NG CTC Fort Custer Trng Center,no,no,no,na, ,47df5fbe-839c-4002-bd5b-0b02a85f1369,NG CTC Fort Custer Trng Center,act,armyNationalGuard,mi,0.0033149370003684,0.320624400104286,,,,
