OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
1,Devens Reserve Forces Tng Area,ma,act,usar,no,42.532722222222226,-71.63205555555555
2,Fort Campbell,tn,act,usa,no,36.64263636363636,-87.59872727272729
3,NG Snake Creek TS Miramar,fl,act,armyNationalGuard,no,25.962750000000003,-80.3025
4,Piñon Canyon Maneuver Site,co,act,usa,no,37.52754166666667,-103.84145833333332
5,Stewart Annex,ny,act,usa,no,41.493249999999996,-74.09475
6,NG Sandson AASF,va,act,armyNationalGuard,no,37.493,-77.31325000000001
7,NG AASF02 Birmingham,al,act,armyNationalGuard,no,33.57125,-86.74975
8,Aliamanu Military Reservation,hi,act,usa,no,21.363750000000003,-157.909375
9,Allen Stagefield AL,al,act,usa,no,31.231250000000003,-85.6525
10,Anniston Army Depot,al,act,usa,no,33.636117647058825,-85.95017647058823
11,NG Arden Hills Army Training Site,mn,act,armyNationalGuard,no,45.09283333333334,-93.16199999999999
12,Arlington National Cemetery,va,act,usa,no,38.881125000000004,-77.07206249999999
14,NG Auburn Training Site,me,act,armyNationalGuard,no,44.087,-70.28399999999999
15,NG Bangor Training Site,me,act,armyNationalGuard,no,44.809416666666664,-68.83183333333334
17,NG Beightler Armory,oh,act,armyNationalGuard,no,40.0895,-83.06825
22,Naval Research Laboratory – Blossom Point,md,act,usa,no,38.4226,-77.0922
23,Blue Grass Army Depot,ky,act,usa,no,37.702625,-84.219
24,NG Bog Brook Training Site,me,act,armyNationalGuard,no,44.3983125,-70.9348125
25,NG Bremerton,wa,act,armyNationalGuard,no,47.554249999999996,-122.6815
26,Brown 4b Stagefield AL,al,act,usa,no,31.3865,-85.97200000000001
27,Cairns Basefield AL,al,act,usa,no,31.27388888888889,-85.72011111111111
29,NG Camp Ashland,ne,act,armyNationalGuard,no,41.07925,-96.33775
30,NG Camp Atterbury,in,act,armyNationalGuard,no,39.32133333333333,-86.04233333333333
32,Camp Dodge,ia,act,armyNationalGuard,no,41.8533103448276,-93.81485057471266
37,NG Camp Joseph T Robinson,ar,act,armyNationalGuard,no,34.86661538461538,-92.30107692307692
39,Camp MacKall,nc,act,usa,no,35.04046666666667,-79.47579999999999
43,NG State Military Reservation Camp Pendleton,va,act,armyNationalGuard,no,36.817499999999995,-75.981
44,NG Camp Perry Joint Training Center,oh,act,armyNationalGuard,no,41.544399999999996,-83.0222
47,NG Camp Ripley,mn,act,armyNationalGuard,no,46.221969696969694,-94.45731818181818
48,NG Camp Sherman Joint Training Center,oh,act,armyNationalGuard,no,39.35549999999999,-82.9555
49,NG Camp Smith Tng Site,ny,act,armyNationalGuard,no,41.3146,-73.9472
52,NG Camp Williams Tomah MTA,wi,act,armyNationalGuard,no,43.92824999999999,-90.2695
54,Carlisle Barracks,pa,act,usa,no,40.207125000000005,-77.1685
55,NG Carville Gillis Long Center,la,act,armyNationalGuard,no,30.19875,-91.1275
56,Military Ocean Terminal Concord,ca,act,usa,no,38.050792207792206,-122.01429870129873
58,NG CTC Camp Dawson-Kingwood,wv,act,armyNationalGuard,no,39.41423076923078,-79.67238461538462
59,NG CTC Fort Custer Trng Center,mi,act,armyNationalGuard,no,42.30839999999999,-85.3112
60,Camp Frank D Merrill,ga,act,usa,no,34.629000000000005,-84.10225
