OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1,Devens Reserve Forces Tng Area,ma,42.53272222222223,-71.63205555555555,act,usar,no,America/New_York,2026-02-10T12:15,31.8,67.0,25.5,1.0,0.0,0.0,0.0,0.0,1.0,36.0,1017.4,1004.4,4.0,196.0,5.4
2,Fort Campbell,tn,36.64263636363636,-87.59872727272729,act,usa,no,America/Chicago,2026-02-10T11:15,69.2,68.0,65.1,1.0,0.0,0.0,0.0,0.0,3.0,96.0,1014.6,994.0,16.0,224.0,29.8
3,NG Snake Creek TS Miramar,fl,25.962750000000003,-80.3025,act,armyNationalGuard,no,America/New_York,2026-02-10T12:15,76.4,49.0,77.9,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1024.4,1024.3,7.0,96.0,8.5
4,Piñon Canyon Maneuver Site,co,37.52754166666667,-103.84145833333332,act,usa,no,America/Denver,2026-02-10T10:15,42.6,49.0,35.9,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1021.1,851.9,4.5,87.0,6.9
5,Stewart Annex,ny,41.49325,-74.09475,act,usa,no,America/New_York,2026-02-10T12:15,28.6,64.0,22.3,1.0,0.0,0.0,0.0,0.0,3.0,80.0,1017.2,1000.8,2.0,117.0,9.2
6,NG Sandson AASF,va,37.493,-77.31325000000001,act,armyNationalGuard,no,America/New_York,2026-02-10T12:15,48.7,48.0,42.5,1.0,0.0,0.0,0.0,0.0,3.0,85.0,1017.9,1012.1,6.7,195.0,9.2
7,NG AASF02 Birmingham,al,33.57125,-86.74975,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:15,61.2,86.0,59.3,1.0,0.0,0.0,0.0,0.0,3.0,94.0,1020.1,997.2,9.9,205.0,17.9
8,Aliamanu Military Reservation,hi,21.363750000000003,-157.909375,act,usa,no,Pacific/Honolulu,2026-02-10T07:15,73.8,79.0,73.7,1.0,0.0,0.0,0.0,0.0,3.0,99.0,1020.6,1009.1,15.3,67.0,31.8
9,Allen Stagefield AL,al,31.231250000000003,-85.6525,act,usa,no,America/Chicago,2026-02-10T11:15,65.3,75.0,64.1,1.0,0.0,0.0,0.0,0.0,3.0,87.0,1021.9,1008.8,8.1,233.0,13.6
10,Anniston Army Depot,al,33.636117647058825,-85.95017647058823,act,usa,no,America/Chicago,2026-02-10T11:15,59.7,88.0,58.6,1.0,0.0,0.0,0.0,0.0,3.0,91.0,1020.2,993.3,7.3,214.0,15.7
